Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Power Consumption Average;1;all;all;all; ;416478.4059844234;418777.4604450007;413708.7418374193;416033.14813127584;417885.36704947904;413553.1975302096;417730.3199963408;415713.42264829745;415917.9926260571;416881.9860032828
Power Consumption Average;2;all;all;all; ;443883.31762841204;445125.34690312995;441845.0897457216;443995.97906454036;446824.0907081314;442579.03692652687;444657.74940507434;444243.71295783785;445905.58932324767;445047.28897605307
Power Consumption Average;3;all;all;all; ;474405.16165834025;475003.71070525737;474097.1563825539;474763.58109721035;478479.2197691267;474694.2509076398;474490.3046524721;471956.60671866103;475224.20400930673;476285.909936157
Power Consumption Average;4;all;all;all; ;501956.8232009376;506281.0373878998;504092.58518258476;500997.6739250733;503877.90180892916;504801.37935183814;504649.5612634044;504007.28886840993;504784.6657290765;503307.1194845103
Power Consumption Average;5;all;all;all; ;532248.5767867272;530978.4748620779;528257.6159587253;529898.181380683;532865.8027927029;532596.3621643916;531431.1844809226;530580.9204300045;530534.3126304824;535344.1827338008


Energy Efficiency Average;1;all;all;all; ;1.0359640351911788E8;1.0472426665951839E8;1.0358250809623487E8;1.0417570875516191E8;1.0393217585870504E8;1.0320393569201003E8;1.0373380634553911E8;1.0378496136969429E8;1.0451538312701735E8;1.0429847057829915E8
Energy Efficiency Average;2;all;all;all; ;1.0875348032166554E8;1.0915959327567057E8;1.0878377356013374E8;1.0975915638226113E8;1.0997479724306165E8;1.0894403020486313E8;1.0981817154891036E8;1.0923288998910214E8;1.1045824954203135E8;1.101299818751501E8
Energy Efficiency Average;3;all;all;all; ;1.1398039701554222E8;1.1453739909181173E8;1.1412040179979843E8;1.1466179103437991E8;1.146277223170708E8;1.1422728811918758E8;1.1465698403296314E8;1.1339395114957379E8;1.1405184106318367E8;1.1493047371625742E8
Energy Efficiency Average;4;all;all;all; ;1.177378500361737E8;1.1916081922252993E8;1.1822736795805764E8;1.180600045921398E8;1.1910730789426214E8;1.1897975748899081E8;1.1859778117173137E8;1.191784406529523E8;1.1840189316221073E8;1.184883841153757E8
Energy Efficiency Average;5;all;all;all; ;1.2154841873320675E8;1.2187147126348086E8;1.2185261591373095E8;1.2203700020264676E8;1.2248748797439826E8;1.221406187564429E8;1.2176962532055396E8;1.2178107535720055E8;1.2179362143314362E8;1.2268825078038523E8


Energy Efficiency Geral;1;all;all;all; ;1.8724226432881266E8;1.871282940846437E8;1.867224915289482E8;1.867184590186445E8;1.8675847832801244E8;1.864230852759955E8;1.86896642682707E8;1.869615803764332E8;1.8700244748922992E8;1.8680973147142395E8
Energy Efficiency Geral;2;all;all;all; ;1.8696148662925535E8;1.8695421721460837E8;1.8672516039200097E8;1.8692895540518495E8;1.8699023918290514E8;1.868086801088184E8;1.8670990019523486E8;1.870559465639708E8;1.8712711350812128E8;1.871677831090632E8
Energy Efficiency Geral;3;all;all;all; ;1.867315910622346E8;1.8697818531859332E8;1.8658548357672063E8;1.871476030494847E8;1.8695975389846915E8;1.869384829516177E8;1.8671392156898904E8;1.867123590189515E8;1.8660192938893202E8;1.8690773019419175E8
Energy Efficiency Geral;4;all;all;all; ;1.8645352211666283E8;1.8684933308841154E8;1.8682327474570253E8;1.870108571653343E8;1.8722158625328392E8;1.8732706596854508E8;1.869074630685476E8;1.8735574455470243E8;1.87025684706879E8;1.8642309247591862E8
Energy Efficiency Geral;5;all;all;all; ;1.8664979236511114E8;1.8638493354320425E8;1.871068665721103E8;1.868707727617887E8;1.869824087669883E8;1.8672858450372604E8;1.8673674639705047E8;1.868536347719396E8;1.866919423642063E8;1.8701327032654294E8


Energy Efficiency Established;1;all;all;all; ;1.5883612396057585E8;1.5859937990840322E8;1.5840486894645724E8;1.5824458910752514E8;1.5848986421020103E8;1.5814948163996133E8;1.5844796315972033E8;1.5848968703591153E8;1.5842111669150466E8;1.5827922669807252E8
Energy Efficiency Established;2;all;all;all; ;1.584786719495792E8;1.5848952093699908E8;1.582541170318375E8;1.5855566888779846E8;1.5842635414920306E8;1.5854681284822226E8;1.582438642074855E8;1.5867204191547492E8;1.5875309604200795E8;1.586177134744965E8
Energy Efficiency Established;3;all;all;all; ;1.5823066983301657E8;1.5845718615007234E8;1.582732808852646E8;1.5866501221282008E8;1.5848730864959884E8;1.584963559584628E8;1.5834874394281435E8;1.582934398727883E8;1.582697171750519E8;1.585325337864039E8
Energy Efficiency Established;4;all;all;all; ;1.5819180964470977E8;1.5833221510379374E8;1.5839026469625595E8;1.5874047869740444E8;1.585911645154768E8;1.5879966719778982E8;1.584223679514186E8;1.587433044722531E8;1.5849862008284748E8;1.578923231493304E8
Energy Efficiency Established;5;all;all;all; ;1.582705190319004E8;1.5806841083841765E8;1.5869478038594455E8;1.584494115250213E8;1.5859250370323884E8;1.5842470924683535E8;1.5840563981636286E8;1.5842142874284783E8;1.5832194782111448E8;1.5874574860368317E8


Average Power Consumption Established;1;all;all;all; ;3458792.80635332;3463114.787469159;3411954.6048237705;3445739.1624414916;3445286.3066039225;3401732.5160142584;3460113.3092572684;3435119.142555989;3455652.0723523437;3440719.6196377594
Average Power Consumption Established;2;all;all;all; ;3427394.9604067407;3442720.81491245;3422700.9477946023;3446311.0987242623;3449284.0772978873;3426033.038734208;3437193.3844431015;3444983.6718197837;3444053.2578912983;3450523.603305772
Average Power Consumption Established;3;all;all;all; ;3436556.0577528905;3446969.635811566;3434111.7170317373;3455925.0353249554;3468565.2288673823;3448668.129261905;3427407.820248871;3434595.381408737;3449012.625164651;3440509.2194347917
Average Power Consumption Established;4;all;all;all; ;3432093.663871858;3452277.058021117;3431942.7388026235;3424658.774354841;3456100.5026714033;3470481.177130156;3459115.4113351703;3466789.003402175;3460253.4628296546;3424455.3013158063
Average Power Consumption Established;5;all;all;all; ;3451738.6685692556;3438808.389294762;3419093.9736182312;3434603.353319226;3451164.133898721;3444213.2947522583;3420456.689881444;3441729.281242875;3429981.0036283033;3465127.946887777


Average Data Transmitted Established;1;all;all;all; ;5.493812429438839E14;5.492478578442302E14;5.404702220283707E14;5.4526957793226175E14;5.4604295889892075E14;5.3798223408545644E14;5.482479061536537E14;5.4443095783476744E14;5.4744826019937056E14;5.445944406811508E14
Average Data Transmitted Established;2;all;all;all; ;5.4316900157194094E14;5.4563517267530925E14;5.416565163572681E14;5.4643216145366906E14;5.4645750079120225E14;5.431866190040186E14;5.439147631826816E14;5.4662259357311544E14;5.467541176238077E14;5.4731416424614225E14
Average Data Transmitted Established;3;all;all;all; ;5.437685669369506E14;5.461971092354403E14;5.4352812838114244E14;5.483343879364247E14;5.4972356799877125E14;5.466013313981009E14;5.4272572331618794E14;5.436739174943803E14;5.458742527179926E14;5.4543264407248025E14
Average Data Transmitted Established;4;all;all;all; ;5.4292910755803144E14;5.4660667374849175E14;5.435863188213411E14;5.436319732163538E14;5.4810700340118256E14;5.511112559444627E14;5.4800125448096306E14;5.503295423081304E14;5.484453989953948E14;5.406952030457929E14
Average Data Transmitted Established;5;all;all;all; ;5.4630847063693694E14;5.4356697727364175E14;5.425923672622517E14;5.4421088015529625E14;5.47328760685818E14;5.456484898052113E14;5.4181963042482875E14;5.45243670080591E14;5.430412734838541E14;5.500743299362439E14


