Metrics;LoadPoint;Modulation;Bandwidth; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Percentage of cicuits by modulation;1;QPSK;all; ;0.5009768187782475;0.4960729299146627;0.4976545925219456;0.49791291656531256;0.49830841321382047;0.4965945298112619;0.4962498785582435;0.49907183329931676;0.4954234633828436;0.4964780533240191
Percentage of cicuits by modulation;1;16QAM;all; ;0.10638091072556738;0.10557944914225799;0.10667224633590906;0.1061444903916322;0.10822266726293481;0.10764988453556013;0.1068784610900612;0.10619976479964234;0.10545001799488361;0.10613381456902239
Percentage of cicuits by modulation;1;32QAM;all; ;0.008805948388977984;0.00904828014718018;0.009002082643984662;0.008718073461444905;0.009080126771791331;0.008730475791442965;0.008559215000485766;0.008455550048109163;0.008598636279630765;0.00914929949159778
Percentage of cicuits by modulation;1;BPSK;all; ;0.17455411381639696;0.17695601098997116;0.1751172703739027;0.1783215762588178;0.17505006708016566;0.17431720079119936;0.1775672787331196;0.17640026824503602;0.17814934780705594;0.17787286063569682
Percentage of cicuits by modulation;1;64QAM;all; ;0.0026340088448267482;0.002533906779414192;0.002666562858866808;0.002714667963999027;0.0025276584161303493;0.002192362782449405;0.002545419216943554;0.002604698175739375;0.002538737634596866;0.002629332091434781
Percentage of cicuits by modulation;1;8QAM;all; ;0.20664819944598337;0.20980942302651379;0.20888724526539112;0.20618827535879347;0.20681106725515738;0.21051554628808622;0.2081997474011464;0.20726788543215635;0.20983979690098922;0.20773663988822913
Percentage of cicuits by modulation;2;QPSK;all; ;0.4975765640632133;0.4967020389159408;0.49508139467199597;0.4940916738798494;0.4960146613916686;0.49622584687721616;0.49694346872634826;0.4981855934176822;0.49706978188310175;0.4960347120434095
Percentage of cicuits by modulation;2;16QAM;all; ;0.1049022369430711;0.1068636390090597;0.10569665690059954;0.10777953919919082;0.10552905127608408;0.10758036468908166;0.10660987017019542;0.10646782581696809;0.10721493440968718;0.10753356177015891
Percentage of cicuits by modulation;2;32QAM;all; ;0.008838984779462473;0.008468000077599085;0.008934981276315023;0.009035119284970968;0.008736715537972228;0.008879217385391065;0.00874264977003241;0.008897384149654583;0.008984708530621749;0.00834797464545375
Percentage of cicuits by modulation;2;BPSK;all; ;0.1777995784484182;0.1767610142200322;0.1792623062147112;0.17715252720747707;0.1768675820339772;0.1774677715495886;0.1775699120883386;0.1762497089187301;0.1759877357758286;0.1771129597452897
Percentage of cicuits by modulation;2;64QAM;all; ;0.0028071061552358842;0.0026286689817060158;0.0026872853567201536;0.0024605868450997366;0.002298114963928322;0.002720110358763127;0.0028721690698441655;0.002532407048047815;0.002260731196149965;0.0027470660751900133
Percentage of cicuits by modulation;2;8QAM;all; ;0.20807552961059902;0.2085766387956622;0.20833737557965812;0.20948055358341194;0.21055387479636956;0.20712668913995938;0.20726193017524114;0.20766708064891717;0.20848210820461072;0.20822372572049816
Percentage of cicuits by modulation;3;QPSK;all; ;0.4927711894811353;0.49329366386912954;0.495809730736401;0.49357588216470955;0.49235927400990337;0.4925241352544511;0.4963013950963188;0.4956541183790931;0.4946709131566974;0.4921402074636551
Percentage of cicuits by modulation;3;16QAM;all; ;0.10758370584413696;0.10762118892097765;0.10719135562970436;0.10779912147158358;0.10690233243214435;0.1085431523795663;0.10670208537330218;0.10731508127868088;0.10727872915073426;0.10755760457930981
Percentage of cicuits by modulation;3;32QAM;all; ;0.008959652474085854;0.008441067586688117;0.008865523395670056;0.009347697499200015;0.008721183755341725;0.008945810896036481;0.008715716404742746;0.008604262269580772;0.009041538804077405;0.008552306604550253
Percentage of cicuits by modulation;3;BPSK;all; ;0.17919304948171708;0.1794720213982517;0.17669938697912624;0.1785565370853414;0.1804703625105381;0.18017755785184106;0.17790144163184582;0.17802558917321304;0.17847842712074424;0.17762259436109523
Percentage of cicuits by modulation;3;64QAM;all; ;0.0026568666427484026;0.002451883007384723;0.0025704198029021493;0.002540556789201664;0.0023934804306326735;0.002415951098821132;0.002685487702017509;0.0028486427626973634;0.0028557322775190947;0.0027797417842649183
Percentage of cicuits by modulation;3;8QAM;all; ;0.20883553607617644;0.20872017521756828;0.20886358345619616;0.20818020498996384;0.20915336686143976;0.20739339251928396;0.2076938737917729;0.20755230613673487;0.2076746594902276;0.21134754520712465
Percentage of cicuits by modulation;4;QPSK;all; ;0.4920381085298365;0.49262185557427524;0.4959796950380718;0.4927160673557529;0.4932012920446413;0.49515824165172295;0.4943904118223162;0.4924659195653229;0.4909203787055719;0.4931400666614991
Percentage of cicuits by modulation;4;16QAM;all; ;0.11051667490477714;0.10836770657836131;0.1082091721078023;0.10986557965739797;0.10687414169938686;0.1067416274899433;0.10765366974701096;0.10882452821035268;0.10888755238243054;0.10769513991163476
Percentage of cicuits by modulation;4;32QAM;all; ;0.00910068909371093;0.009421173918937237;0.008989983143781605;0.008802833988450526;0.008848958434072842;0.008704502496001552;0.009405878189029061;0.008742055984087711;0.008953515443116561;0.008439268273777226
Percentage of cicuits by modulation;4;BPSK;all; ;0.17604357475842952;0.17974786498576656;0.17824966578187665;0.17605667976901054;0.17906810313146748;0.1778025493142054;0.17818805938309076;0.1791393780623878;0.17936132236535776;0.17997635842182777
Percentage of cicuits by modulation;4;64QAM;all; ;0.002888184611209645;0.0026433509556730377;0.002809369732431752;0.002746639491434949;0.0029689947970058606;0.0023360635874569865;0.0027247956403269754;0.002610003395915199;0.0027840291789539033;0.002431982016897915
Percentage of cicuits by modulation;4;8QAM;all; ;0.20941276810203627;0.20719804798698657;0.20576211419603588;0.20981219973795312;0.20903850989342565;0.2092570154606698;0.20763718521822608;0.20821811478193372;0.2090932019245693;0.20831718471436322
Percentage of cicuits by modulation;5;QPSK;all; ;0.49093239097510777;0.4931687370399798;0.49059938624091987;0.49274406971897206;0.4934610425492724;0.4915534301432709;0.4931105702566688;0.49231651487612144;0.49312;0.4942822808853743
Percentage of cicuits by modulation;5;16QAM;all; ;0.109743310939381;0.11015290401348811;0.11040865477994018;0.10839787896119507;0.10937363670735135;0.10876538169942264;0.10886365619757779;0.10891984098441919;0.10941090909090909;0.1083071675000969
Percentage of cicuits by modulation;5;32QAM;all; ;0.008601607704555163;0.009447491327687447;0.009274365847026376;0.009296509204416568;0.008744462002307296;0.009000602632141677;0.008940259286912508;0.009253229396498936;0.009056969696969697;0.009439082063805868
Percentage of cicuits by modulation;5;BPSK;all; ;0.1777406702652324;0.17701207340943004;0.17821349493066077;0.1774091918144188;0.17736134404901552;0.17780564141443594;0.17798097528338294;0.17697773198681999;0.17700848484848486;0.17601852928635112
Percentage of cicuits by modulation;5;64QAM;all; ;0.002504757096811774;0.0023449157962055;0.0027288971759313213;0.002704615295132662;0.0025981328343884207;0.0027604440038101904;0.0026568666427484026;0.002935373190906175;0.002492121212121212;0.002829786409272396
Percentage of cicuits by modulation;5;8QAM;all; ;0.2104772630189119;0.20787387841320903;0.2087752010255215;0.20944773500586486;0.20846138185766497;0.2101145001069186;0.20844767233270953;0.20959730956523429;0.20891151515151515;0.20912315385509944


Average of slots by modulation;1;QPSK;all; ;3.072877484570151;3.0361154529479726;3.035667711232653;3.034998783750912;3.0357080360094106;3.0230149372984245;3.020509083843389;3.0550679845661914;3.0235976149483985;3.024333449761323
Average of slots by modulation;1;16QAM;all; ;0.49268600865043494;0.48983039328951583;0.4923701267103957;0.49081975188518606;0.5031498512570239;0.4943729355250465;0.49593898766151756;0.4919380703851649;0.4825449628916319;0.4855047153335662
Average of slots by modulation;1;32QAM;all; ;0.03764397142440589;0.03762997194256478;0.03758491153629056;0.03702262223303333;0.036787151717835545;0.03644194136160345;0.03583017584766346;0.03518286341856917;0.03637884579843785;0.03832421314083906
Average of slots by modulation;1;BPSK;all; ;1.5403217184234825;1.5719639233808724;1.536893940868482;1.5777572366820725;1.5396647936069685;1.5375381227528282;1.5707373943456717;1.555335257699896;1.581653000282082;1.5603096984515077
Average of slots by modulation;1;64QAM;all; ;0.010458278660640521;0.010582216051959652;0.010714911341650934;0.011510581367063975;0.010256460111605841;0.008886377144861589;0.00971534052268532;0.010720082417315412;0.010193858394856382;0.010362091046687623
Average of slots by modulation;1;8QAM;all; ;1.129795402634009;1.1460345815170432;1.1390505479105437;1.1223060082704939;1.1260037720440979;1.148252443266523;1.125531914893617;1.1341808321427531;1.1436088982267745;1.1342220669849032
Average of slots by modulation;2;QPSK;all; ;3.0431750410381437;3.034444293557336;3.026882554958381;3.0113887240933273;3.0392037080133427;3.0246364281065117;3.027178870150789;3.045680353954824;3.039800512303035;3.038759840417787
Average of slots by modulation;2;16QAM;all; ;0.48938836167960137;0.4955574524220614;0.489949358738043;0.4966300658425808;0.48830579474051666;0.49840193516422665;0.4972248636690019;0.49431421252813784;0.49723472793603973;0.4954328813131558
Average of slots by modulation;2;32QAM;all; ;0.0377648052995056;0.03435699458746387;0.038475717417877725;0.038484356308536194;0.03742921418043596;0.036750633882860394;0.03771662558947389;0.037374835053947064;0.037297213381976245;0.03612925770974286
Average of slots by modulation;2;BPSK;all; ;1.5640923528211903;1.5588589054649156;1.5726052115873417;1.559992608513825;1.5634260336668995;1.5478593702944519;1.5532806769003862;1.5602538228673446;1.5392571605992393;1.577213911996816
Average of slots by modulation;2;64QAM;all; ;0.011286703641467466;0.010815372378605933;0.010749141426880614;0.010104939652405637;0.009231246606159337;0.010929014834316134;0.012119389081876226;0.010469223007063572;0.009130249165567027;0.010949436511711432
Average of slots by modulation;2;8QAM;all; ;1.1332258409177003;1.1378741730847577;1.13489784435088;1.1542194687855594;1.1513168101776434;1.1357917949813965;1.1394748588173649;1.1338973841496547;1.1352557634091438;1.132266863394131
Average of slots by modulation;3;QPSK;all; ;2.998274006341572;3.0103793150233558;3.0187398153177623;3.0253473872021877;3.0155624679011988;3.012137971183234;3.0299184658787945;3.0280197557750643;3.0248206696934203;3.005850048911833
Average of slots by modulation;3;16QAM;all; ;0.4968243656003646;0.4974802783323319;0.4915806626833243;0.49950061574563404;0.4978342393674235;0.5057779071459758;0.49380011052187656;0.49870693007700084;0.49450634553392514;0.5004019487249024
Average of slots by modulation;3;32QAM;all; ;0.03788459114313142;0.03669102397612079;0.03733413517498254;0.040454972994463136;0.036212292993013366;0.03837384175035172;0.036026253793130195;0.035535117056856184;0.037889275031219444;0.03608821563822678
Average of slots by modulation;3;BPSK;all; ;1.585237905923649;1.584149012462931;1.5626697447039652;1.588681916471923;1.5974107774450808;1.600067918303983;1.582498763900065;1.5799758886209847;1.5690457982013726;1.5755712030373763
Average of slots by modulation;3;64QAM;all; ;0.010734129100447014;0.010902641831256178;0.010543571040583535;0.010259194973188399;0.010271616422958032;0.009770533158686265;0.010916459034193917;0.011695963288480982;0.011587496732848666;0.010460352358906312
Average of slots by modulation;3;8QAM;all; ;1.1341911586459676;1.1400480685364294;1.1460968417785364;1.1330495408573895;1.1306627130633642;1.130267307039247;1.1389570225018664;1.1322917476860854;1.1266202650506771;1.1484788904278092
Average of slots by modulation;4;QPSK;all; ;3.000436135260082;3.0281279652975464;3.0352818088466083;3.022943659921386;3.0411404034738205;3.029186255028353;3.029662455031175;3.022141367098433;3.001183454912308;3.0138748934191146
Average of slots by modulation;4;16QAM;all; ;0.5064208802178738;0.5021398555355449;0.4987600023249956;0.5076236230407143;0.4939169455136264;0.4949256046139679;0.4970473299911759;0.5028186096152913;0.5007275337575664;0.4930334857762964
Average of slots by modulation;4;32QAM;all; ;0.03698427005495304;0.03998915548325878;0.038217115842907795;0.03809385160382394;0.03671108876037214;0.03628168467988174;0.039970133912554426;0.03604521418522292;0.03813246934657768;0.03578210991396016
Average of slots by modulation;4;BPSK;all; ;1.558795879006387;1.5887604330060614;1.5681708096797318;1.5616732178385986;1.5848823040173303;1.566955847428876;1.5753391449377951;1.5967787318682385;1.5834335713177092;1.6085574761646384
Average of slots by modulation;4;64QAM;all; ;0.01141705191947974;0.01027324309146188;0.011586228275821982;0.01130683748240889;0.011972689116264675;0.008995298793195366;0.01100584715932782;0.010255663901421432;0.011388328418438615;0.010473994264010541
Average of slots by modulation;4;8QAM;all; ;1.1339419843185143;1.1261933809717461;1.1252397651754402;1.1451448536904936;1.1384305912845012;1.1420927640188048;1.130460500159997;1.1401348663464803;1.1526559832376222;1.1315401906828928
Average of slots by modulation;5;QPSK;all; ;2.9856316259562736;2.995455514428015;2.9939692343549704;3.020696608082825;3.028957547672829;3.005151532824012;3.0172793297714513;3.0065608506750388;3.025629090909091;3.0193917897429934
Average of slots by modulation;5;16QAM;all; ;0.5038639276144615;0.5091471095521405;0.5175387483976227;0.5039115135182295;0.5066940698587508;0.5072510254466281;0.5085863336209989;0.5070225401669858;0.5012363636363636;0.5023936891886653
Average of slots by modulation;5;32QAM;all; ;0.03595006019183721;0.04070657545396407;0.03863186108845123;0.040675863004934226;0.03713003267055094;0.03697439785385199;0.0373512784958644;0.039355384271453984;0.03794424242424242;0.04002403380238012
