Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.01310099280700412;0.013277973535366925;0.013050014584526386;0.01320319937133028;0.013189261958943876;0.012827459141957518;0.013193662934163356;0.01300831542051425;0.013122588416022452;0.013201543303734882
Relative Fragmentation per spectrum size (c);1;all;3; ;0.027115307495823804;0.02757008047555723;0.027005996693647547;0.027300545506878784;0.027461061285570087;0.02686563326468903;0.027614669441335577;0.027195796442849255;0.027302905593202018;0.027442286043322592
Relative Fragmentation per spectrum size (c);1;all;5; ;0.05155958091090847;0.05236233192609475;0.05143236694815902;0.05210231088255889;0.05212487265279165;0.05113517122367349;0.052448919477232944;0.05182536957073834;0.05206397226104864;0.05221275286229471
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.015293949552805396;0.015125056821373582;0.014992514040296865;0.015145994875956042;0.015437868725764648;0.015069824719320264;0.015197697996584034;0.01500966271097815;0.015195265391301576;0.015217864845819013
Relative Fragmentation per spectrum size (c);2;all;3; ;0.03142315859548722;0.03143620447226524;0.031119026363919458;0.03126676875561492;0.03204165395210463;0.030981018984743734;0.0315343708094481;0.031248912219169978;0.0315181673613732;0.031469233155327424
Relative Fragmentation per spectrum size (c);2;all;5; ;0.059794368219367865;0.06001580415633476;0.059165867352855804;0.059565687444497716;0.06064234053821455;0.05859767028659599;0.0599365618788767;0.05933885675483945;0.059767070854507914;0.06008956942947162
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.017373256850873833;0.017495285767664313;0.01733257703503616;0.017332296820357473;0.01779730268809477;0.017381462375359695;0.017377574981831363;0.017327138043950058;0.017557021972579502;0.01752335037015297
Relative Fragmentation per spectrum size (c);3;all;3; ;0.03590096658571795;0.03626029519527578;0.0359771593489403;0.0361749276896316;0.036783380221417056;0.03628803135611426;0.03622157147389166;0.03575404003058123;0.03626337307902651;0.03650209965210236
Relative Fragmentation per spectrum size (c);3;all;5; ;0.06796654314932458;0.06889196774840657;0.0682553915679791;0.06827715103792406;0.06972243897651369;0.06866160794965097;0.06849174613305568;0.06761852977054916;0.06875635859335012;0.06908578746531306
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.019640827133708277;0.02006802553769314;0.019790304766834;0.0195409846773861;0.019921597189154438;0.019821355811775666;0.02030367996706167;0.019892806212629184;0.020097211445894075;0.019930880008908608
Relative Fragmentation per spectrum size (c);4;all;3; ;0.04052465904050756;0.04164040104506492;0.041142609473372505;0.04048320216765611;0.041357402942301266;0.04125847657997008;0.041706196462036604;0.04119092602883626;0.04143886324293422;0.04133143239022477
Relative Fragmentation per spectrum size (c);4;all;5; ;0.07682314827598957;0.07854188461275848;0.0780330923928692;0.07665217718723898;0.07818521826143916;0.07781813033335938;0.07859390612381374;0.07793654247824945;0.07829670386818567;0.07820187801575168
Relative Fragmentation per spectrum size (c);5;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);5;all;2; ;0.022547777400145293;0.022391147086122384;0.022042280334709684;0.022145721410756172;0.022309308691571425;0.02241660868099322;0.022391232106719283;0.02233655039935804;0.022222757782660005;0.022603548527274038
Relative Fragmentation per spectrum size (c);5;all;3; ;0.04624698948863438;0.04602014926502999;0.04544478015212145;0.04566214968127151;0.04624844947966228;0.0463707922484054;0.046074242051994216;0.046139061489208266;0.04595759880400881;0.04644847973905076
Relative Fragmentation per spectrum size (c);5;all;5; ;0.08737059707322219;0.08682914628876318;0.08599531249954974;0.08627875112157843;0.08731477648990207;0.08733265884980299;0.08668241120855091;0.08702462548663084;0.08703859416035709;0.08779692640178746


